observation_id,event_id,package_id,location_id,observation_datetime,taxon_id,variable_name,value,unit
80ebc596-07b8-49a5-9e77-b2e3f57f7792,ARIK.20140714.CORER.2,NA,ARIK.AOS.reach,2014-07-14T17:51Z,PARSP34,density,10000,count per square meter
d230d37b-1e0a-4e3f-8b9a-9c7170309c7c,ARIK.20140714.CORER.3,NA,ARIK.AOS.reach,2014-07-14T17:51Z,TURSP,density,1333.3333333333333,count per square meter
3a376dfc-ec67-42bc-bf13-5f9618ca4338,ARIK.20140714.CORER.2,NA,ARIK.AOS.reach,2014-07-14T17:51Z,NEMSP,density,666.6666666666666,count per square meter
64a16d0e-66ae-4c9d-97f6-8c23f1b68697,ARIK.20140714.CORER.1,NA,ARIK.AOS.reach,2014-07-14T17:51Z,CHISP2,density,166.66666666666666,count per square meter
b7fb40df-fb9a-44e5-9228-448b34fea520,ARIK.20140714.KICKNET.3,NA,ARIK.AOS.reach,2014-07-14T17:51Z,HELTRI,density,4,count per square meter
46b6012b-a743-4348-b12a-d5f4af17fde1,ARIK.20140714.KICKNET.3,NA,ARIK.AOS.reach,2014-07-14T17:51Z,LUMSP6,density,148,count per square meter
cd95981a-866a-45b1-b80f-5de31b36d224,ARIK.20140714.CORER.2,NA,ARIK.AOS.reach,2014-07-14T17:51Z,NEMSP,density,2000,count per square meter
060324ce-ebdf-4413-a387-be19a6baebe2,ARIK.20140714.CORER.2,NA,ARIK.AOS.reach,2014-07-14T17:51Z,CHISP8,density,3333.3333333333335,count per square meter
a21f05a8-8b76-4065-b689-4a7de54cbfd9,ARIK.20140714.CORER.2,NA,ARIK.AOS.reach,2014-07-14T17:51Z,PROSP2,density,1000,count per square meter
07588964-ba11-42c0-980e-569ddde3a70c,ARIK.20140714.KICKNET.3,NA,ARIK.AOS.reach,2014-07-14T17:51Z,CELSP2,density,4,count per square meter
95fff8b4-ac02-4bc7-8000-fccb70b33dc4,ARIK.20140714.CORER.3,NA,ARIK.AOS.reach,2014-07-14T17:51Z,ARRSP2,density,666.6666666666666,count per square meter
fbce6f4a-1689-48ba-8593-64c7cc059e99,ARIK.20140714.KICKNET.3,NA,ARIK.AOS.reach,2014-07-14T17:51Z,HELSTA,density,4,count per square meter
8c2f49a6-1416-42d6-a2b2-4ae87b02d954,ARIK.20140714.CORER.2,NA,ARIK.AOS.reach,2014-07-14T17:51Z,CHISP8,density,3333.3333333333335,count per square meter
b4ca79fd-6289-4d11-a906-38071eb0bf8e,ARIK.20140714.CORER.2,NA,ARIK.AOS.reach,2014-07-14T17:51Z,MICSP6,density,6666.666666666667,count per square meter
c8f754e1-e52b-4ed4-876a-c63ab32ba195,ARIK.20140714.KICKNET.3,NA,ARIK.AOS.reach,2014-07-14T17:51Z,FOSSP,density,16,count per square meter
22175352-6338-48ff-856c-8323a23d5256,ARIK.20140714.CORER.2,NA,ARIK.AOS.reach,2014-07-14T17:51Z,COESP,density,166.66666666666666,count per square meter
ef3d1eae-df61-4883-844a-5008962775f2,ARIK.20140714.KICKNET.3,NA,ARIK.AOS.reach,2014-07-14T17:51Z,PISSP2,density,520,count per square meter
ed9d5266-1321-4d7d-8ab6-3e21dd5e8469,ARIK.20140714.KICKNET.3,NA,ARIK.AOS.reach,2014-07-14T17:51Z,TROGLA,density,4,count per square meter
ea4f131f-1eb6-4500-af63-1126d97c441a,ARIK.20140714.CORER.2,NA,ARIK.AOS.reach,2014-07-14T17:51Z,TANSP11,density,3333.3333333333335,count per square meter
62d13a06-2f73-4c24-802e-9a8213e0ef7c,ARIK.20140714.KICKNET.3,NA,ARIK.AOS.reach,2014-07-14T17:51Z,ARRSP2,density,20,count per square meter
73e463a3-df83-400d-bcbd-e032f7f5e4c9,ARIK.20140714.KICKNET.3,NA,ARIK.AOS.reach,2014-07-14T17:51Z,DESSP3,density,12,count per square meter
2af6aade-73a2-4018-943f-6a9242fe095f,ARIK.20140714.CORER.1,NA,ARIK.AOS.reach,2014-07-14T17:51Z,COESP,density,833.3333333333334,count per square meter
d0daaa32-05ed-4642-9cdd-bba5f1b47530,ARIK.20140714.CORER.2,NA,ARIK.AOS.reach,2014-07-14T17:51Z,TANSP11,density,3333.3333333333335,count per square meter
e02618a0-67bd-4350-bc91-afe1aa6c588a,ARIK.20140714.KICKNET.3,NA,ARIK.AOS.reach,2014-07-14T17:51Z,NEMSP,density,8,count per square meter
9962b02d-06ea-4b9e-a62b-559fb5e23a2e,ARIK.20140714.CORER.1,NA,ARIK.AOS.reach,2014-07-14T17:51Z,SMISP,density,166.66666666666666,count per square meter
1bf52cd8-5e5c-45ff-b707-9494d25422e1,ARIK.20140714.KICKNET.3,NA,ARIK.AOS.reach,2014-07-14T17:51Z,CULSP,density,20,count per square meter
d8cd6c3a-7108-4759-8b86-aa1d9242ba0e,ARIK.20140714.CORER.1,NA,ARIK.AOS.reach,2014-07-14T17:51Z,LIBSP,density,166.66666666666666,count per square meter
1a044f06-2c51-42ce-9c47-8c339301fa32,ARIK.20140714.CORER.1,NA,ARIK.AOS.reach,2014-07-14T17:51Z,PISSP2,density,1000,count per square meter
c9b6dc07-bd4e-4886-b94a-bf543cf7e4d8,ARIK.20140714.CORER.1,NA,ARIK.AOS.reach,2014-07-14T17:51Z,BAESP,density,1000,count per square meter
2eb39cb9-823a-4921-86fd-bf7e3affef78,ARIK.20140714.CORER.2,NA,ARIK.AOS.reach,2014-07-14T17:51Z,CHISP8,density,6666.666666666667,count per square meter
d1c26ed8-89d2-465c-990a-3a8d8b7350b6,ARIK.20140714.CORER.2,NA,ARIK.AOS.reach,2014-07-14T17:51Z,PELSP3,density,166.66666666666666,count per square meter
4ce615cd-e2d7-4bf3-8be3-8bf736ba257b,ARIK.20140714.KICKNET.3,NA,ARIK.AOS.reach,2014-07-14T17:51Z,TURSP,density,4,count per square meter
06f7ea0c-5694-4bee-bd27-6083063ea9fe,ARIK.20140714.CORER.2,NA,ARIK.AOS.reach,2014-07-14T17:51Z,MESSP4,density,333.3333333333333,count per square meter
3acc162f-1daf-424c-991a-d476ab196732,ARIK.20140714.CORER.2,NA,ARIK.AOS.reach,2014-07-14T17:51Z,CHISP8,density,3333.3333333333335,count per square meter
284ac1a5-aaf9-4e8f-8d0c-a557bef0db59,ARIK.20140714.CORER.1,NA,ARIK.AOS.reach,2014-07-14T17:51Z,NOTSP2,density,166.66666666666666,count per square meter
4b78a0e8-ce55-4a64-8d62-c0380d5ca209,ARIK.20140714.CORER.2,NA,ARIK.AOS.reach,2014-07-14T17:51Z,BERSP4,density,166.66666666666666,count per square meter
82938c6f-5b46-4eb9-87af-1da9053c1b84,ARIK.20140714.CORER.2,NA,ARIK.AOS.reach,2014-07-14T17:51Z,CALSP14,density,333.3333333333333,count per square meter
edca3789-ec2b-4f03-9f90-cb486257e56c,ARIK.20140714.KICKNET.3,NA,ARIK.AOS.reach,2014-07-14T17:51Z,LIOSP,density,4,count per square meter
2e5536e7-c7b0-4db3-a3af-7d43b55c6eb4,ARIK.20140714.CORER.2,NA,ARIK.AOS.reach,2014-07-14T17:51Z,PROSP23,density,3333.3333333333335,count per square meter
7c468418-b292-43f6-ac13-9b1364de19c3,ARIK.20140714.CORER.2,NA,ARIK.AOS.reach,2014-07-14T17:51Z,CALPIC,density,166.66666666666666,count per square meter
22ae9259-2299-4fb0-8765-07b7d0236bb1,ARIK.20140714.CORER.2,NA,ARIK.AOS.reach,2014-07-14T17:51Z,NAISP1,density,13333.333333333334,count per square meter
18f488b5-dc51-4058-936b-8730530cb970,ARIK.20140714.CORER.1,NA,ARIK.AOS.reach,2014-07-14T17:51Z,VELSP,density,166.66666666666666,count per square meter
a71f4d8b-34b9-47ed-888f-04ac4454c72a,ARIK.20140714.CORER.3,NA,ARIK.AOS.reach,2014-07-14T17:51Z,EPHSP3,density,666.6666666666666,count per square meter
0acfcdc6-c67f-4acc-88d6-6b7a66d040bd,ARIK.20140714.KICKNET.3,NA,ARIK.AOS.reach,2014-07-14T17:51Z,LUMSP6,density,72,count per square meter
d0cd8457-720e-4304-84f8-12a365c3d53f,ARIK.20140714.KICKNET.3,NA,ARIK.AOS.reach,2014-07-14T17:51Z,PISSP2,density,36,count per square meter
5918c5eb-2b9a-4f8d-ac97-e688fe8a64f9,ARIK.20140714.CORER.2,NA,ARIK.AOS.reach,2014-07-14T17:51Z,COESP,density,666.6666666666666,count per square meter
9b850dd1-3ae3-4cc6-9ced-12da15183906,ARIK.20140714.CORER.1,NA,ARIK.AOS.reach,2014-07-14T17:51Z,CULSP,density,666.6666666666666,count per square meter
2ef7e0e2-702b-489f-9d95-6211fa202f43,ARIK.20140714.CORER.3,NA,ARIK.AOS.reach,2014-07-14T17:51Z,PISSP2,density,18000,count per square meter
eff06053-9c7e-486d-92dc-31cfa1bd5e66,ARIK.20140714.CORER.3,NA,ARIK.AOS.reach,2014-07-14T17:51Z,COESP,density,666.6666666666666,count per square meter
cd7b4b02-f38d-433e-90ae-8be3bc99eeba,ARIK.20140714.CORER.1,NA,ARIK.AOS.reach,2014-07-14T17:51Z,PODAQU,density,666.6666666666666,count per square meter
58d8769e-856c-4053-9058-d01b53ea54ed,ARIK.20140714.CORER.2,NA,ARIK.AOS.reach,2014-07-14T17:51Z,CHISP8,density,10000,count per square meter
d7c5cef9-a22f-4129-bb7b-86dd43b4d520,ARIK.20140714.CORER.1,NA,ARIK.AOS.reach,2014-07-14T17:51Z,CHISP2,density,166.66666666666666,count per square meter
8b2a286c-e783-42f6-9c4c-6fac66e71f83,ARIK.20140714.CORER.2,NA,ARIK.AOS.reach,2014-07-14T17:51Z,TURSP,density,166.66666666666666,count per square meter
7700575e-108c-4bdc-88bf-a1013424e007,ARIK.20140714.CORER.2,NA,ARIK.AOS.reach,2014-07-14T17:51Z,PARSP34,density,13333.333333333334,count per square meter
6388f59a-823f-4ba0-9940-1e912b156dc1,ARIK.20140714.CORER.3,NA,ARIK.AOS.reach,2014-07-14T17:51Z,HYDSP28,density,1333.3333333333333,count per square meter
a0df5946-abc7-4043-abdb-4088c0f54a9a,ARIK.20140714.KICKNET.3,NA,ARIK.AOS.reach,2014-07-14T17:51Z,LUMSP6,density,72,count per square meter
50c89f09-0771-4a68-8a34-72ff298ecf27,ARIK.20140714.KICKNET.4,NA,ARIK.AOS.reach,2014-07-14T17:51Z,BAESP,density,8,count per square meter
0bbc9f25-457d-4111-9b57-2c6e3434207e,ARIK.20140714.CORER.1,NA,ARIK.AOS.reach,2014-07-14T17:51Z,CORSP4,density,166.66666666666666,count per square meter
75c8cd0a-dbfd-4a10-a8d0-92a8202df44d,ARIK.20140714.CORER.2,NA,ARIK.AOS.reach,2014-07-14T17:51Z,TANSP11,density,3333.3333333333335,count per square meter
83683020-899f-49d0-9619-f81ab10d466b,ARIK.20140714.KICKNET.3,NA,ARIK.AOS.reach,2014-07-14T17:51Z,NEMSP,density,8,count per square meter
cac01d47-f9cf-472a-b47c-c6040e82aa90,ARIK.20140714.CORER.2,NA,ARIK.AOS.reach,2014-07-14T17:51Z,HELSP4,density,666.6666666666666,count per square meter
62af25da-e3cc-42a8-88e2-ef339fb7c1bd,ARIK.20140714.KICKNET.3,NA,ARIK.AOS.reach,2014-07-14T17:51Z,TURSP,density,4,count per square meter
